,exp,path,run,subset
0,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_0_peaknet3.cxi,100,val
1,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_1_peaknet3.cxi,100,train
2,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_2_peaknet3.cxi,100,train
3,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_3_peaknet3.cxi,100,train
8,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_8_peaknet3.cxi,100,train
9,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_9_peaknet3.cxi,100,train
10,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_10_peaknet3.cxi,100,train
11,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_11_peaknet3.cxi,100,train
12,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_12_peaknet3.cxi,100,train
17,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_17_peaknet3.cxi,100,train
18,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_18_peaknet3.cxi,100,train
19,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_19_peaknet3.cxi,100,train
20,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_20_peaknet3.cxi,100,train
21,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_21_peaknet3.cxi,100,train
22,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_22_peaknet3.cxi,100,train
23,cxic0415,/cds/data/psdm/cxi/cxic0415/scratch/axlevy/psocake/R100/cxic0415_0100_23_peaknet3.cxi,100,train
