,exp,path,run,subset
0,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_8.cxi,100,val
1,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_6.cxi,100,train
2,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_1.cxi,100,train
3,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_31.cxi,100,train
4,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_36.cxi,100,train
5,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_44.cxi,100,train
6,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_38.cxi,100,train
7,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_43.cxi,100,train
8,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_29.cxi,100,train
9,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_27.cxi,100,train
10,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_20.cxi,100,train
11,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_15.cxi,100,train
12,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_12.cxi,100,train
13,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_42.cxi,100,train
14,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_45.cxi,100,train
15,cxic0415,/reg/data/ana03/scratch/yoon82/autosfx/cxic0415/yoon82/psocake/r0100/cxic0415_0100_39.cxi,100,train
